"","x","y","layer_Categories","cum_cost"
"108",300,1500,"Water",0
"109",300,1700,"Water",0
"110",300,1900,"Water",0
"111",300,2100,"Water",0
"112",300,2300,"Water",0
"113",300,2500,"Water",0
"114",300,2700,"Water",0
"115",300,2900,"Water",0
"116",300,3100,"Forest",0
"117",300,3300,"Water",0
"118",300,3500,"Forest",0
"119",300,3700,"Forest",0
"120",300,3900,"Forest",0
"121",300,4100,"Forest",0
"122",300,4300,"Forest",0
"123",300,4500,"Forest",0
"124",300,4700,"Forest",0
"125",300,4900,"Forest",0
"126",300,5100,"Forest",0
"127",300,5300,"Forest",0
"128",300,5500,"Forest",0
"129",300,5700,"Forest",0
"130",300,5900,"Forest",0
"131",300,6100,"Forest",0
"132",300,6300,"Corn",0.00207111478604527
"133",300,6500,"Corn",0.00120207192849721
"134",300,6700,"Corn",0.00232342392897027
"135",300,6900,"Corn",0.000836637943809903
"136",300,7100,"Corn",0.000605462616466165
"137",300,7300,"Corn",0.00504777408162273
"138",300,7500,"Corn",0.00611975913998909
"139",300,7700,"Corn",0.0013338005258006
"140",300,7900,"Corn",0.00255272167684974
"141",300,8100,"Corn",0.00144662483042418
"142",300,8300,"Corn",0.00129079361590819
"143",300,8500,"Corn",0.000973991138782811
"144",300,8700,"Corn",0.00337101393413431
"145",300,8900,"Corn",0.000835213531664049
"146",300,9100,"Corn",0.00169706944311022
"147",300,9300,"Corn",0.0014449570893605
"148",300,9500,"Corn",0.00291613637124793
"149",300,9700,"Corn",0.000950483746054765
"150",300,9900,"Corn",0.00068494074085744
"151",300,10100,"Corn",0.0044554495986695
"152",300,10300,"Corn",0.00422522326835333
"153",300,10500,"Corn",0.0034266575091869
"154",300,10700,"Beef",0.220654440194203
"155",300,10900,"Corn",0.00233755541217637
"156",300,11100,"Beef",0.293050377631664
"157",300,11300,"Beef",0.197655416521217
"158",300,11500,"Corn",0.00233597482456787
"159",300,11700,"Corn",0.000587155461906822
"160",300,11900,"Corn",0.00190824770859284
"161",300,12100,"Beef",0.173517356121119
"162",300,12300,"Beef",0.125747460977044
"163",300,12500,"Beef",0.349062300598313
"164",300,12700,"Beef",0.193175588868906
"165",300,12900,"Forest",0
"166",300,13100,"Forest",0
"167",300,13300,"Forest",0
"168",300,13500,"Forest",0
"169",300,13700,"Forest",0
"170",300,13900,"Forest",0
"171",300,14100,"Forest",0
"172",300,14300,"Forest",0
"173",300,14500,"Forest",0
"174",300,14700,"Forest",0
"175",300,14900,"Forest",0
"176",300,15100,"Forest",0
"177",300,15300,"Forest",0
"178",300,15500,"Forest",0
"179",300,15700,"Forest",0
"180",300,15900,"Forest",0
"181",300,16100,"Forest",0
"182",300,16300,"Beef",0.18695162736996
"183",300,16500,"Beef",0.178681028551662
"184",300,16700,"Beef",0.180202582971953
"185",300,16900,"Beef",0.217585752394864
"186",300,17100,"Corn",0.00164854613239153
"187",300,17300,"Corn",0.000590858423458673
