Product,stressor,value,LUC Burn,LUC C Stock,Feed,Farm,Prcssing,Tran & Str,Packging,"Ret
ail",Loss,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.4,0,0,0,0.1,8.00E-02,9.00E-02,9.00E-02,4.00E-02,3.00E-02,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1,0,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,2.7,0,1.4,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,4.8,0.2,1.8,0,1.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.3,
Maize,GHG_emissions,2.7,0.3,1.6,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,11.1,0.2,8.8,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.6,
Maize,GHG_emissions,0.9,0,0,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,4.6,0,3.5,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.7,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,1.1,0,0,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,3.1,1.00E-02,1.2,0,1.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,1.1,0,0,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.1,0,0,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1,0,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.1,0,0,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1,0,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,0.9,0,0,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.5,0,0,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,4.00E-02,
Maize,GHG_emissions,8,8.00E-02,5.6,0,0.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.8,
Maize,GHG_emissions,4.3,0.3,2.4,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.7,
Maize,GHG_emissions,2.1,0,1,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,0.7,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,7.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,5.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,8.8,2.1,4.2,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.5,
Maize,GHG_emissions,13.8,1.8,6.9,0,2.1,8.00E-02,9.00E-02,9.00E-02,4.00E-02,2.7,
Maize,GHG_emissions,9.6,1.5,5.3,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.8,
Maize,GHG_emissions,9.5,1.5,5.5,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.8,
Maize,GHG_emissions,5.6,0.8,2.9,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.1,
Maize,GHG_emissions,1.2,0,0,0,0.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.4,0,0,0,0.9,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,1.2,0,0,0,0.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.4,0,0,0,0.9,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,0.6,0,-0.01,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,6.00E-02,
Maize,GHG_emissions,0.4,0,-0.17,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,3.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.6,0,0,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,6.00E-02,
Maize,GHG_emissions,1,0,6.00E-02,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1,0,2.00E-05,0,0.6,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,0.6,0,-0.02,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,6.00E-02,
Maize,GHG_emissions,0.8,0,-0.02,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.8,0,-0.02,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.9,0,-0.01,0,0.5,8.00E-02,9.00E-02,9.00E-02,4.00E-02,1.00E-01,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,1.3,0,0,0,0.9,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,0.8,0,-0.03,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,8.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,1.2,0,0,0,0.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.2,0,0,0,0.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.1,
Maize,GHG_emissions,1.3,0,0,0,0.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,1.3,0,0,0,0.8,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.2,
Maize,GHG_emissions,0.7,0,0,0,0.3,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,0.8,0,0,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,9.00E-02,
Maize,GHG_emissions,1.9,0.1,0,0,1.2,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,62.8,60,1.5,0,0.7,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.3,
Maize,GHG_emissions,3.9,2.00E-02,2.7,0,0.4,8.00E-02,9.00E-02,9.00E-02,4.00E-02,0.5,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,18,,,0,15.64740107,-,,,,2.554937675,
Maize,Freshwatr Withdr,441,,,0,379.0587898,-,,,,61.8934466,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0.6,,,0,0.476024901,-,,,,0.128451381,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,452,,,0,377.2168572,-,,,,74.84521167,
Maize,Freshwatr Withdr,452,,,0,377.0708755,-,,,,74.81624681,
Maize,Freshwatr Withdr,452,,,0,377.1735669,-,,,,74.83662225,
Maize,Freshwatr Withdr,101,,,0,84.04190274,-,,,,16.67511374,
Maize,Freshwatr Withdr,224,,,0,187.0115499,-,,,,37.1057623,
Maize,Freshwatr Withdr,242,,,0,201.6218115,-,,,,40.00464686,
Maize,Freshwatr Withdr,207,,,0,172.8421619,-,,,,34.29435335,
Maize,Freshwatr Withdr,452,,,0,376.9940556,-,,,,74.80100464,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,589,,,0,491.6420772,-,,,,97.54880948,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,452,,,0,377.2731751,-,,,,74.85638594,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,554,,,0,481.7169671,-,,,,72.06391177,
Maize,Freshwatr Withdr,336,,,0,286.8110776,-,,,,49.35558929,
Maize,Freshwatr Withdr,"2,397",,,0,1917.539896,-,,,,479.7256594,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,41,,,0,34.9196869,-,,,,5.664302289,
Maize,Freshwatr Withdr,193,,,0,167.5249638,-,,,,25.05782179,
Maize,Freshwatr Withdr,207,,,0,180.4571829,-,,,,26.99217972,
Maize,Freshwatr Withdr,85,,,0,74.09847706,-,,,,11.08340149,
Maize,Freshwatr Withdr,100,,,0,87.31887167,-,,,,13.06086374,
Maize,Freshwatr Withdr,170,,,0,148.1731617,-,,,,22.16324419,
Maize,Freshwatr Withdr,106,,,0,92.19425074,-,,,,13.79010658,
Maize,Freshwatr Withdr,48,,,0,41.96195457,-,,,,6.276528321,
Maize,Freshwatr Withdr,125,,,0,108.6499017,-,,,,16.25148762,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,0,,,0,0,-,,,,0,
Maize,Freshwatr Withdr,143,,,0,116.9426259,-,,,,25.97350661,
Maize,Freshwatr Withdr,"1,193",,,0,1034.489205,-,,,,158.7593913,
